2,59,243
5,77,264
4,68,280
3,90,335
3,90,362
2,74,172
2,99,330
3,87,413
9,68,135
2,103,134
2,115,159
2,111,167
8,110,154
3,89,145
7,80,140
3,94,158
2,113,171
6,78,154
4,103,173
8,97,212
5,74,141
3,95,149
3,81,154
2,52,132
2,56,86
3,72,154
2,55,140
5,80,204
9,85,151
5,71,192
2,83,190
2,86,225
2,103,256
3,84,263
4,106,235
2,71,273
2,88,251
2,89,261
3,97,285
2,72,244
3,80,218
3,74,248
2,74,152
2,86,159
2,73,167
2,53,101
2,76,144
2,70,176
2,40,102
2,40,98
2,48,83
3,49,63
2,34,69
2,64,75
2,43,79
3,43,50
3,44,72
3,38,76
4,52,79
2,70,65
2,47,61
8,50,90
9,40,93
5,57,119
2,72,117
2,93,97
4,69,125
3,65,101
3,61,98
6,67,150
2,79,108
3,86,99
2,61,81
2,84,117
2,126,137
5,105,177
6,126,259
8,159,247
7,122,317
7,159,218
2,102,232
4,80,380
7,140,433
9,108,254
7,111,288
2,115,161
8,172,248
11,152,284
6,114,204
8,94,317
8,81,161
3,129,492
5,107,321
3,79,256
9,87,229
7,61,210
2,104,377
2,83,308
2,97,333
12,114,416
16,101,419
2,84,136
3,108,345
2,95,293
2,106,148
2,88,152
3,91,157
6,116,242
5,108,274
6,113,297
2,127,247
7,120,238
3,120,284
3,111,235
2,75,210
6,111,267
12,98,300
8,91,228
3,115,233
5,111,297
2,104,188
6,103,207
3,93,225
2,119,470
4,113,310
9,122,378
2,120,256
2,99,307
3,121,249
6,122,376
2,126,344
2,119,423
2,48,88
2,112,410
2,117,388
2,124,411
5,98,259
2,98,274
6,75,201
2,76,188
4,78,210
2,66,158
2,74,161
2,68,199
2,54,112
2,52,101
2,60,102
2,59,97
2,45,86
2,77,135
2,58,93
2,62,103
2,43,97
2,92,78
2,71,87
2,57,67
2,60,77
2,78,90
2,55,67
2,42,95
2,52,115
2,67,121
2,104,105
4,92,106
4,89,126
2,69,68
3,68,70
2,50,45
2,51,71
3,83,87
4,79,79
4,86,95
19,157,234
40,140,257
3,156,284
8,199,312
3,173,322
15,146,272
5,116,223
8,142,367
20,138,345
7,115,202
3,117,326
5,131,207
6,127,326
3,131,292
4,104,237
3,96,152
2,114,193
2,112,203
2,117,217
12,92,287
2,104,268
8,89,291
3,98,407
8,85,444
4,89,359
5,108,564
5,90,646
3,65,246
4,66,189
3,77,236
3,69,261
5,107,160
4,106,232
3,101,254
8,88,207
7,92,361
7,80,241
6,87,259
5,115,315
8,107,243
6,91,299
7,84,226
2,52,230
6,68,328
11,75,226
11,70,281
12,98,413
11,89,344
5,76,266
2,74,358
4,85,325
4,111,481
7,108,523
5,119,371
3,96,417
4,117,343
2,112,375
6,113,365
6,97,321
2,100,66
2,94,102
2,60,107
2,83,79
3,46,66
10,68,124
10,52,105
10,50,132
2,25,85
2,37,75
2,44,106
3,71,123
2,75,102
2,74,104
2,41,134
2,70,80
2,29,84
2,40,117
2,88,167
3,94,260
3,82,205
3,128,421
4,115,524
8,129,404
5,88,388
6,89,536
10,124,626
13,122,436
6,120,397
6,106,411
11,128,398
8,131,373
6,124,311
13,125,395
2,105,670
4,104,480
4,117,363
3,110,296
2,24,286
11,72,239
