4,40,212,1
4,40,190,1
4,67,379,1
5,60,380,1
4,44,222,1
4,40,106,1
4,35,219,1
4,54,279,1
5,50,192,1
4,50,312,1
4,27,194,1
4,49,225,1
4,39,236,1
4,37,194,1
4,28,171,1
4,29,52,0
4,34,147,1
4,36,133,1
4,33,106,1
4,32,125,1
4,54,113,1
4,37,135,1
4,48,151,1
4,41,152,1
4,59,194,1
4,44,106,1
4,37,156,1
4,48,339,1
4,26,138,1
4,30,175,1
4,30,138,1
4,29,175,1
4,27,137,1
4,27,132,1
4,40,213,1
4,35,145,1
4,35,176,1
4,35,165,1
4,43,157,1
4,41,181,1
4,41,129,1
4,39,234,1
4,36,162,1
4,30,85,0
4,30,153,1
4,47,96,0
4,39,134,1
4,41,143,1
4,46,217,1
4,36,241,1
4,43,165,1
4,32,71,0
4,26,57,0
4,33,87,0
4,34,77,0
4,29,90,0
4,37,143,1
4,40,121,1
4,44,141,1
4,49,157,1
4,38,83,0
4,56,225,1
4,34,231,1
4,47,175,1
4,48,205,1
4,54,363,1
4,53,330,1
4,56,481,1
4,45,316,1
4,45,303,1
4,39,263,1
4,45,343,1
4,49,237,1
4,41,158,1
4,42,251,1
4,40,257,1
4,44,214,1
4,65,389,1
4,69,240,1
4,64,313,1
4,63,399,1
4,63,119,1
4,55,161,1
4,60,403,1
4,65,307,1
4,58,203,1
4,65,235,1
4,61,202,1
4,67,287,1
4,62,280,1
4,68,222,1
4,64,161,1
4,62,191,1
4,71,173,1
4,65,146,1
4,55,179,1
4,65,303,1
4,68,271,1
4,51,310,1
4,58,228,1
4,60,351,1
4,55,276,1
4,57,208,1
4,59,189,1
4,55,267,1
4,63,240,1
4,60,206,1
4,56,256,1
4,55,303,1
4,54,132,1
4,54,306,1
4,54,186,1
4,54,157,1
4,53,224,1
4,49,185,1
4,59,131,1
4,51,132,1
4,50,75,0
4,59,153,1
4,60,147,1
4,53,218,1
4,58,83,0
4,57,189,1
4,57,123,1
4,55,138,1
4,47,145,1
4,55,93,0
4,56,74,0
4,51,147,1
4,55,112,1
4,60,102,1
4,60,137,1
4,55,209,1
4,47,262,1
4,66,231,1
4,61,256,1
4,64,277,1
4,57,339,1
4,59,403,1
4,59,374,1
4,60,464,1
4,63,334,1
4,52,368,1
4,60,183,1
4,59,221,1
4,57,290,1
4,61,287,1
4,62,479,1
4,59,481,1
4,69,470,1
4,65,478,1
4,66,291,1
5,71,414,1
4,63,190,1
4,62,294,1
5,52,438,1
4,58,243,1
4,62,271,1
4,60,227,1
4,60,391,1
4,66,246,1
4,61,165,1
4,60,175,1
4,53,115,1
4,65,177,1
4,63,201,1
4,62,259,1
4,63,312,1
4,64,166,1
4,64,371,1
4,61,234,1
4,59,242,1
4,63,435,1
4,61,475,1
4,60,238,1
4,51,240,1
4,62,251,1
4,58,333,1
4,61,267,1
4,61,380,1
4,60,153,1
4,56,207,1
4,58,417,1
4,55,236,1
4,59,314,1
4,55,236,1
4,58,178,1
4,62,352,1
4,51,419,1
4,58,216,1
4,58,115,1
4,48,253,1
4,53,165,1
4,58,130,1
4,55,218,1
4,46,135,1
4,54,137,1
4,56,290,1
4,53,92,0
4,55,194,1
4,48,190,1
4,45,138,1
4,46,101,1
4,51,190,1
4,57,121,1
4,55,190,1
4,49,260,1
4,54,204,1
4,62,322,1
4,58,193,1
4,55,310,1
4,61,313,1
4,57,403,1
4,63,355,1
4,57,335,1
4,53,414,1
4,55,205,1
4,52,289,1
4,48,546,1
4,55,211,1
4,47,444,1
4,63,514,1
4,51,432,1
4,54,301,1
5,48,354,1
4,46,218,1
4,27,131,1
4,27,119,1
4,32,181,1
4,35,387,1
4,48,287,1
4,49,254,1
4,44,270,1
4,49,327,1
4,51,119,1
4,38,273,1
4,51,146,1
4,51,197,1
4,49,94,0
4,52,108,1
4,56,152,1
4,50,104,1
4,53,115,1
4,40,124,1
4,47,183,1
4,42,190,1
5,59,434,1
4,37,165,1
4,42,296,1
4,42,281,1
4,36,246,1
4,43,204,1
4,36,313,1
4,40,238,1
4,37,212,1
4,36,163,1
4,37,177,1
4,37,159,1
4,50,239,1
4,34,158,1
4,42,182,1
4,42,112,1
4,24,104,1
4,42,128,1
4,41,159,1
4,44,139,1
4,45,125,1
4,44,93,0
4,39,86,0
4,45,134,1
4,40,152,1
4,30,160,1
4,32,93,0
4,33,130,1
4,31,114,1
4,39,185,1
4,37,199,1
4,43,120,1
4,37,130,1
4,42,152,1
4,54,172,1
18,92,304,1
4,38,161,1
4,45,308,1
4,44,332,1
4,46,206,1
4,47,296,1
4,53,219,1
4,45,231,1
4,46,263,1
4,49,235,1
4,47,215,1
4,42,187,1
4,47,311,1
4,47,195,1
4,41,143,1
4,47,107,1
4,45,198,1
4,57,318,1
4,50,458,1
4,26,142,1
4,37,179,1
4,33,180,1
4,46,157,1
4,50,226,1
4,51,234,1
4,52,315,1
4,52,328,1
4,48,215,1
4,46,283,1
4,49,184,1
4,36,145,1
4,48,149,1
4,47,156,1
4,48,170,1
4,56,163,1
4,45,147,1
